SOC_Target,MLP_Recall_Mean,MLP_Recall_Std,MLP_F1_Mean,MLP_F1_Std,MLP_AUPRC_Mean,MLP_AUPRC_Std
Neopl,0.5363636363636364,0.20650485053287232,0.4775749256135959,0.09934178750969938,0.5152208493713235,0.052551650360619324
Repro,0.48894736842105263,0.09475730773096636,0.44924472086943484,0.04584334453324132,0.4752918820896065,0.1111078112869004
Metab,0.4666666666666666,0.14315665251916806,0.3865013744055151,0.09102656160213093,0.40806151219068487,0.09484399190947682
Psych,0.4212121212121212,0.11019505816618794,0.38548466026726896,0.07660902423200514,0.38843680016899207,0.0742939179129625
Blood,0.35905797101449277,0.09292895566104276,0.36223201682366835,0.0853421816441104,0.3712037927701025,0.10247072535124972
Musc,0.38545454545454544,0.12825594246217015,0.35856670662162654,0.12619726733363065,0.32529685706845035,0.13151130177285777
Infec,0.4,0.1459961605410689,0.3458333333333333,0.06413781082263656,0.3388270554185899,0.05074618582342965
Immun,0.37272727272727274,0.1448852495500839,0.3266033426913174,0.11527784879763327,0.28981783614197215,0.09072902329580647
Resp,0.34848484848484845,0.030303030303030318,0.3117560217560218,0.020159769187972628,0.341099731982654,0.011553699310956999
Skin,0.41185770750988143,0.06236547959941824,0.30610094756573625,0.044159333236309335,0.34842420811811065,0.08694545096552077
Card,0.32799999999999996,0.0933652241937939,0.2977010704389564,0.0621738862401262,0.3012912953669448,0.038922387557977355
Preg,0.36263736263736257,0.10161121982915895,0.2971722026221606,0.05992047829636606,0.28059389216863867,0.083436595541802
Endo,0.3483516483516484,0.03307674053470861,0.2941883116883116,0.016253797165671952,0.26296547117263086,0.03743585874327369
Vasc,0.33260869565217394,0.1585309515264841,0.29161101172729087,0.11576121833012093,0.27855999764290107,0.099461557591815
Cong,0.3119047619047619,0.0826708359712263,0.2725112450854231,0.03885224625038389,0.28904343513977315,0.054540932289491056
Hepat,0.26455026455026454,0.0257036143946902,0.2614360847105826,0.037801091481538526,0.24986924178742814,0.04314088698800596
Gastr,0.27252747252747256,0.10341354159137224,0.22772295974146112,0.04478188938719227,0.20515631929874037,0.07425111248514328
Ear,0.2847619047619047,0.10098831346142144,0.22331366174283424,0.06313374162524454,0.17582852793482032,0.04087203910039971
Prod,0.25833333333333336,0.08724168218868267,0.21976541976541974,0.05697553318556586,0.21748652891837167,0.053012884949108316
Nerv,0.27564102564102566,0.1916655947144366,0.19710942099800305,0.10652991357882846,0.23119222174944914,0.11177266429749291
Renal,0.18379446640316205,0.09220590770756422,0.19219354618025714,0.08816230567177287,0.16614862473584308,0.05151881475904975
Eye,0.22052631578947368,0.0917723306057983,0.1786162773396816,0.07590555773348681,0.20833769669097874,0.05203494715907215
