Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
5.6,0,0,0,0,3,6,0,8447,331.95703296,332.5,0,20,0,311,1,133,331.95703296
1.5,0,0,0,0,2,2,2,23623795,265.88772,265.93,0,10,0,208,1,47.6,263.88977
2.4,0,0,1,0,0,2,0,697993,166.98634151,167.3,0,10,0,158,1,69.4,166.98634151
0.9,0,0,3,0,4,6,0,441300,286.15420922,286.33,0,21,2,414,1,102,286.15420922
3.8,0,0,1,0,7,9,0,46220502,506.27179938,506.6,0,37,0,723,1,75,506.27179938
4.6,0,0,1,0,1,2,0,132971,349.240564612,349.5,0,26,6,636,1,33.1,349.240564612
1.7,0,0,2,0,6,6,0,78323835,323.14159610,323.42,0,22,0,474,1,99.4,323.14159610
3,0,0,2,0,4,6,0,71226662,465.19132300,465.5,0,35,1,845,1,119,465.19132300
-1.2,0,0,2,0,4,4,0,71158,181.04087901,181.21,0,11,0,215,1,91.9,181.04087901
-8.5,0,0,14,0,9,19,1,41774,645.24801352,645.6,0,44,18,962,1,321,645.24801352
1.7,0,0,3,0,10,5,1,1978,336.20490738,336.4,0,24,0,400,1,87.7,336.20490738
4.3,0,0,2,0,7,5,0,71771,353.0221633,354.2,0,23,0,411,1,75.6,353.0221633
4.2,0,0,1,0,7,6,0,1981,415.0822650,415.8,0,29,0,620,1,94.8,415.0822650
N/A,0,0,22,0,16,54,0,76959346,2508.1557816,2508.6,0,178,0,412,15,934,2507.1524268
-0.3,0,0,2,0,2,7,0,1986,221.98813241,222.3,0,13,0,297,1,152,221.98813241
-0.2,0,0,1,0,0,2,0,176,60.021129366,60.05,0,4,0,31,1,37.3,60.021129366
2.4,0,0,2,0,4,4,0,1989,324.11437830,324.4,0,22,0,498,1,101,324.11437830
0.2,0,0,0,1,4,2,0,187,146.118103753,146.21,0,10,0,115,1,26.3,146.118103753
0.4,0,0,3,0,3,4,0,12035,163.03031432,163.20,0,10,1,148,1,67.4,163.03031432
-1,0,0,1,0,1,4,0,5310993,154.03784206,154.12,0,11,0,162,1,75.7,154.03784206
6.1,0,0,1,0,6,3,0,5284513,326.18819469,326.4,4,24,0,539,1,46.5,326.18819469
4.7,0,0,1,1,10,6,0,11434515,484.16162579,484.7,0,33,1,647,1,112,484.16162579
1.6,0,0,1,0,6,4,0,5284514,348.183778013,348.4,2,26,0,514,1,53.4,348.183778013
0.6,0,0,1,0,3,5,0,287180,294.10044231,294.30,0,22,0,482,1,70.5,294.10044231
-1.9,0,0,3,0,4,5,0,135398513,225.08618923,225.20,0,16,0,308,1,115,225.08618923
7.7,0,0,1,0,4,3,0,60164,412.20384475,412.5,0,31,0,644,1,46.5,412.20384475
-2,0,0,3,0,5,8,0,60172,273.06269088,273.19,0,18,0,327,1,136,273.06269088
-0.1,0,0,2,0,0,4,0,190,135.05449518,135.13,0,10,0,127,1,80.5,135.05449518
-1.1,0,0,4,0,2,8,0,60961,267.09675391,267.24,0,19,4,335,1,140,267.09675391
2.7,0,0,2,0,10,9,1,441397,465.15697138,465.5,0,32,4,756,1,163,465.15697138
-1,0,0,2,0,4,3,1,2284,213.0556563,213.66,0,14,0,191,1,63.3,213.0556563
3.8,0,0,0,0,6,12,0,124081896,571.12247758,571.6,0,40,2,1090,1,123,571.12247758
2.2,0,0,4,0,7,8,0,54585,357.09608521,357.32,0,26,0,545,1,149,357.09608521
1.2,0,0,2,0,8,6,1,54766,367.21072103,367.4,0,26,0,446,1,91.3,367.21072103
1.2,0,0,1,0,8,5,0,16229,385.21138974,385.5,0,28,0,554,1,81.9,385.21138974
-0.5,0,0,1,0,5,7,0,44205240,371.11644398,371.4,0,26,0,678,1,129,371.11644398
N/A,0,0,0,0,0,0,0,5355457,137.905247,137.33,0,1,0,0,1,0,137.905247
6.1,0,0,2,0,7,4,0,154257,470.25694295,470.6,0,35,0,623,1,57.9,470.25694295
2.7,0,0,3,0,15,14,0,9854073,835.37790549,835.9,0,60,11,1690,1,202,835.37790549
3.4,0,0,2,0,8,4,0,54746,451.29472544,451.6,0,33,3,713,1,71.7,451.29472544
2.1,0,0,2,0,3,8,0,54713659,405.11362698,405.4,0,29,2,814,1,99.2,405.11362698
5.4,0,0,2,0,8,7,0,25102847,501.16999904,501.5,0,37,0,795,1,98.8,501.16999904
-0.1,0,0,0,0,0,3,0,2519,194.08037557,194.19,0,14,0,293,1,58.4,194.08037557
4.3,0,0,3,0,5,3,0,5288783,412.29774513,412.6,3,30,7,743,1,60.7,412.29774513
-16.6,0,0,52,0,99,55,34,16129616,3430.7166627,3431.9,0,239,0,7970,1,1560,3429.7133079
N/A,0,0,0,0,0,0,0,5460341,39.9625908,40.08,0,1,0,0,1,0,39.9625908
N/A,0,0,0,0,0,2,0,84512,77.9593972,78.07,0,3,0,0,3,0,77.9593972
8.3,0,0,2,0,1,2,11,260656,442.381080833,442.7,0,32,0,801,1,40.5,442.381080833
3.3,0,0,0,0,0,0,2,6616,136.125200510,136.23,0,10,0,176,1,0,136.125200510
2.2,0,0,0,0,0,1,2,2537,152.120115130,152.23,0,11,0,217,1,17.1,152.120115130
1,0,0,1,0,1,5,0,24360,348.11100700,348.4,0,26,1,742,1,79.7,348.11100700
3.2,0,0,4,0,5,7,0,24812758,444.14067323,444.5,0,31,5,574,1,118,444.14067323
4.1,0,0,2,0,7,7,0,2541,440.15968852,440.5,0,33,0,660,1,119,440.15968852
-1,0,0,7,0,15,21,0,9854012,774.9483145,776.4,0,44,4,1140,1,307,774.9483145
6.5,0,0,2,0,6,2,0,644019,314.224580195,314.5,0,23,2,414,1,40.5,314.224580195
1.9,0,0,2,0,3,4,0,656615,358.21440943,358.5,0,26,6,707,1,74.6,358.21440943
0.6,0,0,3,0,7,7,0,60953,359.14926359,359.35,0,25,4,582,1,121,359.14926359
N/A,0,0,27,0,19,23,0,3000502,1320.69839421,1321.4,2,93,12,2470,2,737,1320.69839421
3.6,0,0,2,0,9,3,0,1548943,305.19909372,305.4,1,22,0,341,1,58.6,305.19909372
0.3,0,0,2,0,3,4,0,44093,217.07726451,217.29,0,14,2,244,1,58.6,217.07726451
