Feature,Importance
ATP5MF-PTCD1,0.027056017095130145
ERBB2,0.02528420352889952
CDK4,0.02517875407466767
MCEE,0.022712656793657412
TOP2A,0.02264364333579956
EPHA7,0.022403040079022562
DSG2,0.018510146622322574
ARL11,0.016062126705825776
PGR,0.015304011779288256
PARP1,0.00842739633334845
FSHR,0.007194345278955164
ESR2,0.0068724506721916465
AR,0.006711876385927592
MPL,0.006655894694463494
MTOR,0.006315739592784419
EGFR,0.00519592095612217
PARP2,0.004358516720532163
ESPL1,0.004174834964114856
EIF4EBP1,0.004163985660459225
KDR,0.004103008460745047
RPS6KB1,0.004081856992743118
FLT3,0.004009385556609698
GNRH1,0.0039802614202829765
HRH1,0.003956041150851135
C1orf56,0.003823526422613691
PSMB5,0.003694892723429501
MAPK3,0.003679499783888974
FLT4,0.0036599087741795724
ROS1,0.0036583205913806064
FGFR1,0.0036494819115841025
PSMB1,0.003601956925381969
PARP4,0.0035992508738566503
CSF3,0.0034778155674731028
SULT1E1,0.00347127039317336
LHCGR,0.003324002321731547
CASP9,0.0033049619935013293
FGFR2,0.0032966553396170466
DHODH,0.0032715973664974953
UGT2B15,0.003193316616093995
BCHE,0.003106128484051303
FGF2,0.00310383292666786
ALK,0.0030771238997007026
MAPK1,0.0030712809618618393
CASP3,0.0030699798032023007
AMH,0.0030651017705939083
RET,0.0030553876117364047
LTK,0.003023227662161358
TMPRSS2,0.0030140694613474605
CYP17A1,0.0030020752275944098
CYP2C19,0.0029959384783414286
CHRM4,0.0029027480729779437
EIF2AK3,0.0027830058415598095
HTR2C,0.0027577192198241333
RXRA,0.0027317155863616203
PIK3CA,0.0027088649648830698
HMOX1,0.002692014820644523
MKI67,0.00264700942811881
CASP8,0.0026345865866925595
PDGFRB,0.002600422820138681
REN,0.002598623018143059
ADRB2,0.0025437141379420066
CD40LG,0.002541207579668744
IL2,0.002539490229356221
TMPRSS11D,0.0024476227823930284
CCL2,0.0024401796665913995
CHRM1,0.00243843186761086
TNF,0.0023885569816995086
NOS2,0.0023861088885596877
CASP6,0.002352914804308394
RPS6,0.0023413200676260897
ADRA2A,0.002336047393352848
HTR7,0.0023071991084382816
KLK3,0.0023024842925361264
NR1I2,0.002299113844063674
ART5,0.002296240324348909
ADRA2C,0.0022537202735422347
HMGCR,0.0022416065047996298
LIMK1,0.002197834753551402
TOP1,0.0021823309590386364
KCNH2,0.002175965974539005
PIK3CD,0.0021718638175827194
ADRB3,0.002164475673814754
CYP3A5,0.00215633837033269
DIABLO-2,0.0021528466279445066
SLC6A3,0.0021342326667178812
NEK11,0.0021037586273193348
DRD2,0.002088488611496989
HTR1A,0.002082449730251315
HLA-C,0.0020731668719513353
CHRM5,0.0020695604551531034
CYP3A7,0.0020565447603943104
GSK3B,0.0020371219061894666
IMMP1L,0.002006065228364955
NOS3,0.001974735423284062
INSR,0.0019412036352952793
TP53,0.0019406994707228261
CHRM3,0.0019322958814721313
GSK3A,0.0019266670844934593
DPYD,0.0019240297269262343
ADRA1D,0.0019139723123560747
JAK2,0.0019087218138987795
SCG5,0.0019085683415943435
POR,0.0018868712386746248
ABL1,0.0018683196481272366
M0QYV0_HUMAN,0.0018486200744815176
ALB,0.0018459943716257062
ATF3,0.001835835572707038
NQO1,0.0018289775921870133
HSD11B2,0.00178896246538037
STS,0.0017876114855609015
CYP1A2,0.001782710179027996
PTN,0.0017781511941462797
CRBN,0.0017634964168737081
TSSK1B,0.001748755248648548
CDA,0.001748635464891182
FASLG,0.0017461955139130307
NR3C1,0.0017401223368908967
CXCL8,0.0017390817932717692
CYP2C8,0.0017371593742020084
DLD,0.0017334129667970306
PARG,0.0017333270334896345
LMO2,0.0017154388428884447
SHBG,0.0017128871718841434
HTR2B,0.001703686979115161
CYP11B1,0.0017004277675695776
MCL1,0.0016896951886856588
IL21R,0.0016793625106977456
ADRB1,0.0016666392465625767
SIK1,0.001664045168147808
RELA,0.0016334617686565508
DRD3,0.0016334531307414515
TWIST1,0.001631668067235165
NKX3-1,0.001629955307223714
CSF1R,0.0016249429518223125
CYP2C9,0.0016093618505665763
DRD4,0.0015834717911554425
TGFB1,0.0015784161270854839
FOS,0.0015713704452583544
GML,0.001570754923822469
PTEN,0.0015602254089174036
ACHE,0.0015600735179305942
SLC6A4,0.0015452954843727421
CASP7,0.0015426978990166183
PTGS2,0.0015214762833047966
QSOX1,0.0015141640269489608
HTR1B,0.0015130155887489753
S1PR1,0.001512977629597486
CCR5,0.0014868606126360654
ADRA1B,0.0014749506100323836
AFP,0.0014645930809478705
ERBB3,0.0014381449278737845
QSOX2,0.0014321381622499536
KIT,0.0014304430897442552
CSF2,0.0014229625740262454
CD34,0.0014202613743615174
FLT1,0.001409884936342518
TPMT,0.001404773866638027
KCNA3,0.0013942378903875744
ADRA1A,0.0013938501136992409
CAT,0.0013824351658626288
ABCC1,0.0013640394079036595
IDUA,0.001361287416206308
SHC4,0.0013333493611629398
GFER,0.001323225008226839
ABL2,0.0013088053437415054
RB1,0.001298644391696473
MAPT,0.0012978171098191917
TNPO3,0.0012971504109335708
CIP2A,0.0012939151652558059
OPRD1,0.0012864110441128493
TUBB4B,0.0012573875169129309
PMAIP1,0.0012562656749256014
NRAS,0.001252765601288945
ABCC3,0.001249437604179472
CYP51A1,0.0012486010743251968
NTRK1,0.001244482503894212
MAP4,0.0012218751318259855
KRAS,0.0012215552914057362
THBS1,0.0012213191310604305
GGH,0.0012180064161555738
CYP2B6,0.0012003250008370198
CYP2J2,0.0011959686169027112
PTGS1,0.0011813617122350185
CD4,0.0011799568180084032
PRL,0.0011557591588845658
SERPINE1,0.0011479780596583664
BLK,0.0011420660164130026
HLA-B,0.0011340791368020103
PDGFRA,0.0011320451491041435
IRAK1,0.0011258008008375674
MTBP,0.0011225568325537115
DPYS,0.0011130270619261382
PNMT,0.001111684474865998
PRKCD,0.0011076864796200194
SLC18A3,0.0011076661910795931
OPRM1,0.0010905265916649862
TEK,0.001075984509822285
LEP,0.0010577163137808845
SLC6A2,0.0010549801205383296
PRKCA,0.001050994863831801
DCTD,0.0010470983814898133
RASGRP1,0.0010308995870782994
CASP2,0.0010287220247252634
GAK,0.0010219789472396337
ITIH4,0.0010177157584132077
IL13,0.0010152444259945261
TNFRSF1B,0.0010064449330168294
IRF4,0.0010029456983861207
CD40,0.0010016806446078305
GSTA1,0.0009977781127186965
MMP1,0.0009952594198276354
GNRHR,0.0009935574029360736
NTRK3,0.0009774739227006945
EGF,0.0009669731996696104
PARP3,0.0009659705649618597
FGFR3,0.0009515962120798237
FER,0.0009382009346305195
AURKA,0.0009300507210560495
HSPB1,0.0009258336325752443
IL10,0.0009231469141528477
CCND1,0.000914135256889492
TYMS,0.0009106698567530144
HOXB1,0.0009004372125284125
ERBB4,0.0008998719312824985
NKX2-1,0.0008971251257801399
STAT3,0.0008945448661552175
CXCR4,0.0008872940402534536
