Gene,disease_list
ADRB2,"{'Erythrocytosis, familial, 2 (ECYT2) [MIM', 'Note=SRC kinase activity has been shown to be increased in several tumor tissues and tumor cell lines such as colon carcinoma cells. {ECO', 'von Hippel-Lindau disease (VHLD) [MIM', 'Pheochromocytoma (PCC) [MIM', 'Intellectual developmental disorder, X-linked, syndromic, Raymond type (MRXSR) [MIM', 'Thrombocytopenia 6 (THC6) [MIM', 'Renal cell carcinoma (RCC) [MIM', 'Nephrolithiasis/osteoporosis, hypophosphatemic, 2 (NPHLOP2) [MIM'}"
ALOX5,"{'q34) with BRD3 which produces a BRD3-NUTM1 fusion protein. {ECO:0000269|PubMed:12543779}.', 'Klippel-Feil syndrome 2, autosomal recessive (KFS2) [MIM', 'Premature ovarian failure 12 (POF12) [MIM', 'Macrocephaly/megalencephaly syndrome, autosomal recessive (MGCPH) [MIM', 'DISEASE: Note=Aberrant activation of HCK, e.g. by the BCR-ABL fusion protein, promotes cancer cell proliferation.', 'Primary pigmented nodular adrenocortical disease 4 (PPNAD4) [MIM', 'Spermatogenic failure, 15 (SPGF15) [MIM', 'Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition (MVA7) [MIM', 'p13) with BRD4 which produces a BRD4-NUTM1 fusion protein. {ECO:0000269|PubMed:12543779}.', 'Note=Defects in MAD1L1 are involved in the development and/or progression of various types of cancer. {ECO', 'DISEASE: Note=Aberrant activation of HCK by HIV-1 protein Nef enhances HIV-1 replication and contributes to HIV-1 pathogenicity.', 'Autoinflammation with pulmonary and cutaneous vasculitis (AIPCV) [MIM', 'Ischemic stroke (ISCHSTR) [MIM', 'Rhabdomyosarcoma, embryonal, 2 (RMSE2) [MIM', 'Note=DICER1 mutations have been found in uterine cervix embryonal rhabdomyosarcoma, primitive neuroectodermal tumor, Wilms tumor, pulmonary sequestration and juvenile intestinal polyp (PubMed', 'SHORT syndrome (SHORTS) [MIM', 'Cardioacrofacial dysplasia 1 (CAFD1) [MIM', 'Pleuropulmonary blastoma (PPB) [MIM', 'Note=LTC4 synthase deficiency is associated with a neurometabolic developmental disorder characterized by muscular hypotonia, psychomotor retardation, failure to thrive, and microcephaly. {ECO', '19)(q14', 'Combined oxidative phosphorylation deficiency 42 (COXPD42) [MIM', 'Agammaglobulinemia 7, autosomal recessive (AGM7) [MIM', 'Global developmental delay, lung cysts, overgrowth, and Wilms tumor (GLOW) [MIM', '9)(q14', 'Goiter multinodular 1, with or without Sertoli-Leydig cell tumors (MNG1) [MIM', 'DISEASE: Note=A chromosomal aberration involving NUTM1 is found in a rare, aggressive, and lethal carcinoma arising in midline organs of young people. Translocation t(15', 'Seckel syndrome 6 (SCKL6) [MIM', 'DISEASE: Note=Mutations that cause aberrant kinase activation can confer oncogene activity and promote aberrant cell proliferation.', 'Immunodeficiency 36 with lymphoproliferation (IMD36) [MIM', 'Note=Genetic variations in ALOX5AP may be associated with susceptibility to myocardial infarction. Involvement in myocardial infarction is however unclear'}"
ATP5MF-PTCD1,set()
CASP3,"{'it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers', 'Note=Is a tumor suppressor gene with an important role in colorectal cancer (CRC). {ECO', 'Inflammatory bowel disease 10 (IBD10) [MIM', 'Cerebellar ataxia, cayman type (ATCAY) [MIM', 'Deafness, autosomal dominant, 5 (DFNA5) [MIM', 'Ventricular tachycardia, catecholaminergic polymorphic, 4 (CPVT4) [MIM', 'Long QT syndrome 14 (LQT14) [MIM', 'fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:17200669, ECO:0000269|PubMed:17435756, ECO:0000269|PubMed:17484864, ECO:0000269|PubMed:18047540, ECO:0000269|PubMed:18499543, ECO:0000269|PubMed:18985712, ECO:0000269|PubMed:19659808, ECO:0000269|PubMed:24656308}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.', 'Oocyte/zygote/embryo maturation arrest 7 (OZEMA7) [MIM', 'Hemolytic anemia, congenital, X-linked (HACXL) [MIM', 'Developmental and epileptic encephalopathy 54 (DEE54) [MIM'}"
CYP1A2,"{'Obesity (OBESITY) [MIM', 'Spastic paraplegia 86, autosomal recessive (SPG86) [MIM', 'Maturity-onset diabetes of the young 3 (MODY3) [MIM', 'Hepatic adenomas familial (HEPAF) [MIM', 'Type 1 diabetes mellitus 20 (T1D20) [MIM'}"
HORMAD1,"{'Sclerosing cholangitis, neonatal (NSC) [MIM', 'Mosaic variegated aneuploidy syndrome 3 (MVA3) [MIM', 'Dyslexia 2 (DYX2) [MIM', 'Note=Several works have found that mRNA expression is elevated in the skin of vitiligo patients. {ECO', 'Pregnancy loss, recurrent, 4 (RPRGL4) [MIM', 'Deafness, autosomal recessive, 66 (DFNB66) [MIM', 'Nephronophthisis 19 (NPHP19) [MIM', 'Oocyte/zygote/embryo maturation arrest 9 (OZEMA9) [MIM', 'Spermatogenic failure 4 (SPGF4) [MIM'}"
MCM5,"{'Deafness, autosomal dominant, 70 (DFNA70) [MIM', 'Spondyloepimetaphyseal dysplasia, sponastrime type (SEMDSP) [MIM', 'p21), with BCL6. {ECO:0000269|PubMed:12414651}.', '6)(q27', 'Meier-Gorlin syndrome 8 (MGORS8) [MIM', 'Chopra-Amiel-Gordon syndrome (CAGS) [MIM', 'DISEASE: Note=Chromosomal aberrations involving HISTONE H4 is a cause of B-cell non-Hodgkin lymphomas (B-cell NHL). Translocation t(3', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 1 (TEBIVANED1) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 4 (TEBIVANED4) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 3 (TEBIVANED3) [MIM', 'Immunodeficiency 54 (IMD54) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 2 (TEBIVANED2) [MIM'}"
NR3C1,"{'Otosclerosis 12 (OTSC12) [MIM', 'Rubinstein-Taybi syndrome 2 (RSTS2) [MIM', 'Congenital anomalies of kidney and urinary tract 3 (CAKUT3) [MIM', 'Melanoma, cutaneous malignant 3 (CMM3) [MIM', '22)(p11', 'DISEASE: Note=Defects in EP300 may play a role in epithelial cancer.', 'Noonan syndrome 5 (NS5) [MIM', 'Glucocorticoid resistance, generalized (GCCR) [MIM', 'Menke-Hennekam syndrome 2 (MKHK2) [MIM', 'Coffin-Siris syndrome 5 (CSS5) [MIM', 'DISEASE: Note=Chromosomal aberrations involving NCOA2 may be a cause of acute myeloid leukemias. Inversion inv(8)(p11', 'Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development (PNRIID) [MIM', 'Osteootohepatoenteric syndrome (OOHE) [MIM', 'LEOPARD syndrome 2 (LPRD2) [MIM', 'DISEASE: Note=Chromosomal aberrations involving EP300 may be a cause of acute myeloid leukemias. Translocation t(8', 'p23) with PAX3 generates the NCOA1-PAX3 oncogene consisting of the N-terminus part of PAX3 and the C-terminus part of NCOA1. The fusion protein acts as a transcriptional activator. Rhabdomyosarcoma is the most common soft tissue carcinoma in childhood, representing 5-8% of all malignancies in children. {ECO:0000269|PubMed:15313887}.', 'Delayed sleep phase syndrome (DSPS) [MIM', 'Meningioma (MNGMA) [MIM', 'Coffin-Siris syndrome 4 (CSS4) [MIM', 'q13) generates the KAT6A-NCOA2 oncogene, which consists of the N-terminal part of KAT6A and the C-terminal part of NCOA2/TIF2. KAT6A-NCOA2 binds to CREBBP and disrupts its function in transcription activation. {ECO:0000269|PubMed:12676584, ECO:0000269|PubMed:15657427, ECO:0000269|PubMed:9558366}.', 'Rhabdoid tumor predisposition syndrome 2 (RTPS2) [MIM', 'q13) with KAT6A.', 'Cardiomyopathy, dilated, 1NN (CMD1NN) [MIM', '2)(q35', 'DISEASE: Note=A chromosomal aberration involving NCOA1 is a cause of rhabdomyosarcoma. Translocation t(2', 'Developmental and epileptic encephalopathy 54 (DEE54) [MIM'}"
RPL12,set()
SLC15A1,set()
