gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
HTR1A,Depression,10286246,3350,0.474,0.913,1.0,2014,2014,disease
HTR1A,Depressive neurosis,10302482,3350,0.474,0.913,0.9500000000000001,2014,2014,disease
HTR1A,Schizophrenias,20625152,3350,0.474,0.913,0.85,2014,2014,disease
HTR1A,MAJOR DEPRESSIVE DISORDER,45005377,3350,0.474,0.913,0.85,2013,2014,disease
HTR1A,Anxiety Disorder,5220380,3350,0.474,0.913,0.8,,,disease
HTR1A,"Disorders, Panic",20307521,3350,0.474,0.913,0.8,,,disease
HTR1A,Pain,20267485,3350,0.474,0.913,0.8,2003,2003,phenotype
HTR1A,"Depressions, Unipolar",25040630,3350,0.474,0.913,0.75,2013,2014,disease
HTR1A,Affective Disorders,35530797,3350,0.474,0.913,0.75,2011,2014,disease
HTR1A,Alcoholism,5067473,3350,0.474,0.913,0.75,2009,2013,disease
HTR1A,Anhedonia,25447759,3350,0.474,0.913,0.75,2009,2009,disease
HTR1A,Bipolar Disorders,5410050,3350,0.474,0.913,0.7,2004,2014,disease
HTR1A,Fever,10778098,3350,0.474,0.913,0.7,2012,2012,phenotype
HTR1A,Apnea,5230368,3350,0.474,0.913,0.65,2000,2000,phenotype
HTR1A,"Depression, Post-Natal",25585916,3350,0.474,0.913,0.65,2010,2010,disease
HTR1A,"Major depressive disorder, single episode, unspecified degree",15686196,3350,0.474,0.913,0.6000000000000001,2006,2011,disease
HTR1A,Bipolar Depression,5416089,3350,0.474,0.913,0.6000000000000001,2009,2011,disease
HTR1A,"PERIODIC FEVER, MENSTRUAL CYCLE-DEPENDENT",50549864,3350,0.474,0.913,0.55,2012,2012,disease
HTR1A,"Abuse, Alcohol",25199230,3350,0.474,0.913,0.55,2003,2003,disease
HTR1A,severe depression,35635770,3350,0.474,0.913,0.55,2012,2012,disease
HTR1A,Tremors,25015964,3350,0.474,0.913,0.5,2000,2000,phenotype
HTR1A,Cocaine Related Disorders,30073490,3350,0.474,0.913,0.4,2002,2002,disease
HTR1A,Learning disability,40469622,3350,0.474,0.913,0.4,2003,2003,disease
HTR1A,learning disorder,15390380,3350,0.474,0.913,0.4,2003,2003,disease
HTR1A,Other specified transient organic mental disorders,25376448,3350,0.474,0.913,0.4,2010,2010,disease
HTR1A,Memory Disorder,15792546,3350,0.474,0.913,0.4,2003,2003,disease
HTR1A,Bradycardia,35347681,3350,0.474,0.913,0.4,1990,1990,phenotype
HTR1A,"Neoplasm, Stomach",20740453,3350,0.474,0.913,0.4,2011,2011,disease
DRD4,Attention Deficit Disorder with Hyperactivity,40836384,1815,0.483,0.913,0.9,2000,2022,disease
DRD4,Schizophrenias,20617702,1815,0.483,0.913,0.8,2008,2008,disease
DRD4,Alcoholism,5066083,1815,0.483,0.913,0.75,2011,2015,disease
DRD4,Bipolar Disorders,5407775,1815,0.483,0.913,0.7,2005,2015,disease
DRD4,Depressive neurosis,10298963,1815,0.483,0.913,0.7,2013,2014,disease
DRD4,Depression,10282854,1815,0.483,0.913,0.7,2013,2014,disease
DRD4,Attention-Deficit Disorder NOS,25038032,1815,0.483,0.913,0.7,2004,2018,disease
DRD4,Affective Disorders,35529917,1815,0.483,0.913,0.7,2004,2007,disease
DRD4,"Depressions, Unipolar",25039428,1815,0.483,0.913,0.7,1999,2010,disease
DRD4,MAJOR DEPRESSIVE DISORDER,45003547,1815,0.483,0.913,0.7,1999,2010,disease
DRD4,"Abuse, Marihuana",15737573,1815,0.483,0.913,0.7,2012,2013,disease
DRD4,"Abuse, Alcohol",25198993,1815,0.483,0.913,0.7,2011,2013,disease
DRD4,Heroin Dependence,15023944,1815,0.483,0.913,0.65,,,disease
DRD4,Gilles de la Tourette's syndrome,25012217,1815,0.483,0.913,0.65,,,disease
DRD4,Pathological gambling,20351306,1815,0.483,0.913,0.65,,,disease
