Drug,id,name,section
"2,2'-Dithiobis(Benzothiazole)",2001,Absorbent Cottons,20.1: Absorbent Cottons
"2,2'-Dithiobis(Benzothiazole)",2393,Accessories (Guernsey),23.93: Accessories (Guernsey)
"2,2'-Dithiobis(Benzothiazole)",2135,Acne Treatment,21.35: Acne Treatment
"2,2'-Dithiobis(Benzothiazole)",2305,Adhesive Discs/Rings/Pads/Plasters,23.5: Adhesive Discs/Rings/Pads/Plasters
"2,2'-Dithiobis(Benzothiazole)",2136,Adhesive Dressing Remover Ster Silicone,21.36: Adhesive Dressing Remover Ster Silicone
"2,2'-Dithiobis(Benzothiazole)",2310,Adhesive (Pastes/Sprays/Solutions),23.10: Adhesive (Pastes/Sprays/Solutions)
"2,2'-Dithiobis(Benzothiazole)",2315,Adhesive Removers (Sprays/Liquids/Wipes),23.15: Adhesive Removers (Sprays/Liquids/Wipes)
"2,2'-Dithiobis(Benzothiazole)",2128,Anal Irrigation System,21.28: Anal Irrigation System
"2,2'-Dithiobis(Benzothiazole)",2202,Anal Plugs,22.2: Anal Plugs
"2,2'-Dithiobis(Benzothiazole)",2002,Arm Sling/Bandages,20.2: Arm Sling/Bandages
"2,2'-Dithiobis(Benzothiazole)",2140,Bacterial Decolonisation Products,21.40: Bacterial Decolonisation Products
"2,2'-Dithiobis(Benzothiazole)",2320,Bag Closures,23.20: Bag Closures
"2,2'-Dithiobis(Benzothiazole)",2325,Bag Covers,23.25: Bag Covers
"2,2'-Dithiobis(Benzothiazole)",2330,Belts,23.30: Belts
"2,2'-Dithiobis(Benzothiazole)",2110,C.A.P.D. Administration Equipment,21.10: C.A.P.D. Administration Equipment
"2,2'-Dithiobis(Benzothiazole)",2113,Catheter Maintenance Products,21.13: Catheter Maintenance Products
"2,2'-Dithiobis(Benzothiazole)",2102,Catheters,21.2: Catheters
"2,2'-Dithiobis(Benzothiazole)",2205,Catheter Valves,22.5: Catheter Valves
"2,2'-Dithiobis(Benzothiazole)",2018,Cellulose Wadding BP 1988,20.18: Cellulose Wadding BP 1988
"2,2'-Dithiobis(Benzothiazole)",2017,Cervical Collar,20.17: Cervical Collar
"2,2'-Dithiobis(Benzothiazole)",2103,Chiropody Appliances,21.3: Chiropody Appliances
