Target,ROC AUC,Accuracy,Precision,Recall,F1 Score,MCC
Blood,0.6980597527472528,0.848,0.2,0.15384615384615385,0.17391304347826086,0.09273670016027795
Card,0.7013221153846153,0.82,0.2564102564102564,0.38461538461538464,0.3076923076923077,0.21465182986645603
Cong,0.6285030758714968,0.868,0.25,0.3684210526315789,0.2978723404255319,0.23318950201719643
Ear,0.5989274085424249,0.848,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.0902126029496265
Endo,0.7715223428427163,0.904,0.36,0.5294117647058824,0.42857142857142855,0.3866332358366904
Eye,0.6182501708817498,0.836,0.13333333333333333,0.21052631578947367,0.16326530612244897,0.07989391393288948
Gastr,0.6773913043478261,0.796,0.13953488372093023,0.3,0.19047619047619047,0.10001880413072549
Hepat,0.5971969696969697,0.884,0.5714285714285714,0.13333333333333333,0.21621621621621623,0.2357778302148335
Immun,0.5904197222655642,0.828,0.0,0.0,0.0,-0.08822890280300917
Infec,0.6694204980842912,0.888,0.1875,0.16666666666666666,0.17647058823529413,0.1168406086169806
Metab,0.7734456227906009,0.884,0.3,0.2857142857142857,0.2926829268292683,0.2296240915335825
Musc,0.6023513139695712,0.864,0.06896551724137931,0.2222222222222222,0.10526315789473684,0.06410220801518464
Neopl,0.7717985842985843,0.832,0.3409090909090909,0.5357142857142857,0.4166666666666667,0.3354596383549112
Nerv,0.7080811138014528,0.904,0.25,0.35714285714285715,0.29411764705882354,0.24881284613823876
Preg,0.8082264957264957,0.92,0.3888888888888889,0.4375,0.4117647058823529,0.36974235887018536
Psych,0.8508529276164131,0.86,0.1388888888888889,0.5555555555555556,0.2222222222222222,0.22652861703686225
Renal,0.6216814159292036,0.84,0.25,0.3333333333333333,0.2857142857142857,0.20028463413412165
Repro,0.7665834892909129,0.892,0.38461538461538464,0.47619047619047616,0.425531914893617,0.3692210794772983
Resp,0.6533001474926253,0.852,0.21739130434782608,0.20833333333333334,0.2127659574468085,0.13116523315921647
Skin,0.6519174041297935,0.536,0.140625,0.75,0.23684210526315788,0.15516132044411524
Vasc,0.6776270604395604,0.864,0.3,0.23076923076923078,0.2608695652173913,0.1893374294939008
