,TP,TN,FP,FN,Total,TP%,TN%,FP%,FN%
Blood,8.0,217.0,7.0,18.0,250.0,3.2,86.8,2.8000000000000003,7.199999999999999
Card,10.0,212.0,12.0,16.0,250.0,4.0,84.8,4.8,6.4
Cong,4.0,209.0,22.0,15.0,250.0,1.6,83.6,8.799999999999999,6.0
Ear,3.0,213.0,14.0,20.0,250.0,1.2,85.2,5.6000000000000005,8.0
Endo,7.0,221.0,12.0,10.0,250.0,2.8000000000000003,88.4,4.8,4.0
Eye,5.0,209.0,22.0,14.0,250.0,2.0,83.6,8.799999999999999,5.6000000000000005
Gastr,0.0,226.0,4.0,20.0,250.0,0.0,90.4,1.6,8.0
Hepat,14.0,188.0,32.0,16.0,250.0,5.6000000000000005,75.2,12.8,6.4
Immun,0.0,220.0,1.0,29.0,250.0,0.0,88.0,0.4,11.600000000000001
Infec,4.0,220.0,12.0,14.0,250.0,1.6,88.0,4.8,5.6000000000000005
Metab,7.0,219.0,10.0,14.0,250.0,2.8000000000000003,87.6,4.0,5.6000000000000005
Musc,1.0,235.0,6.0,8.0,250.0,0.4,94.0,2.4,3.2
Neopl,9.0,219.0,3.0,19.0,250.0,3.5999999999999996,87.6,1.2,7.6
Nerv,5.0,224.0,12.0,9.0,250.0,2.0,89.60000000000001,4.8,3.5999999999999996
Preg,3.0,231.0,3.0,13.0,250.0,1.2,92.4,1.2,5.2
Psych,6.0,228.0,13.0,3.0,250.0,2.4,91.2,5.2,1.2
Renal,2.0,216.0,10.0,22.0,250.0,0.8,86.4,4.0,8.799999999999999
Repro,10.0,218.0,11.0,11.0,250.0,4.0,87.2,4.3999999999999995,4.3999999999999995
Resp,4.0,218.0,8.0,20.0,250.0,1.6,87.2,3.2,8.0
Skin,1.0,223.0,3.0,23.0,250.0,0.4,89.2,1.2,9.2
Vasc,4.0,213.0,11.0,22.0,250.0,1.6,85.2,4.3999999999999995,8.799999999999999
